lot_id,text,author,school,period,object_type
BO0624_83846_lot_13,BEYEREN (ECOLE D'ABRAHAM VAN). NATURE MORTE,,Scuola di Abraham van Beyeren,,Natura morta
BO0624_83846_lot_14,"CUYP (ALBERT) Dordrecht, 1605-1691. Portraits des enfants du Stathouder, Prince d'Orange.",Albert Cuyp,,1605-1691,dipinto
BO0624_83846_lot_15,DU POUCH (MAITRE DU PASTEILLISTE LA TOUR). Portrait de femme.,,Maitre du Pasteilliste La Tour,,Portrait
BO0624_83846_lot_16,GRIMOU (JEAN-ALEXIS) 1680-1740. Portrait d'une jeune fille.,Jean-Alexis Grimou,,1680-1740,dipinto
BO0624_83846_lot_16,PANINI (ATTRIBUE A JEAN_BAPTISTE). Les Ruines d'un palais italien.,,Attribué à Jean-Baptiste Panini,,
BO0624_83846_lot_18,RUBENS (ATTRIBUE A PIERRE-PAUL). Portrait du cardinal Infant Don Ferninand d'Espagne.,,Attribué à Pierre-Paul Rubens,,Portrait
BO0624_15268_lot_1,NAVETTE a encens en bronze patine. xve siecle.,,,XV secolo,navetta per incenso in bronzo
BO0624_15268_lot_2,"STATUETTE en bronze a patine noire.Italie,xve siecle.",,,XV secolo,statuetta in bronzo
BO0624_15268_lot_3,"STATUETTE d'enfant sur un cheval en bronze a patine brune. Italie, xv siecle.",,,XV secolo,statuetta in bronzo
BO0624_15268_lot_4,"FIGURINE en bronze patine, fondue a cire perdue. Italie, xve siecle.",,,XV secolo,bronzo
BO0624_15268_lot_5,STATUETTE sur socle adherent moulure;bronze,,,,statuette in bronzo
BO0624_15268_lot_6,"STATUETTE equestre sur base, en bronze a patine brune. Padoue,fin du xv siecle.",,,fine XV secolo,statuetta equestre in bronzo
BO0624_15268_lot_7,"CHEVAL en bronze a patine brune. Padoue,fin l est represente, d'apres I'antique,au galop, la tete tournee vers la droite, la bouche ouverte; la criniere est longue et la queue nouee a son extremite. Base en bois noir.",,,XVI siècle,bronze
BO0624_15268_lot_8,"STATUETTE en bronze a patine brune. Italie, fin",,,fin du XIXe siècle,statuette en bronze
BO0624_15268_lot_9,"LAMPE en bronze. Padoue, commencement du",,,début du 16e siècle,lampe en bronze
BO0624_15268_lot_10,"TROIS PETITS GROUPES d'enfants en bronze patine. Padoue, commencement du xvie siecle.",,,début du XVIe siècle,bronze
BO0624_15268_lot_11,"FIGURINE en bronze patine. Italie, commence-",,,début du XXe siècle,figurine en bronze
BO0624_15268_lot_12,"STATUETTE en bronze patine. Italie, commen-",,,inizio XVI secolo,statuetta in bronzo
BO0624_15268_lot_13,"DEUX STATUETTES en bronze patine. Venise, xvi siecle..",,,XVI secolo,statuette in bronzo
BO0624_15268_lot_14,"STATUETTE en bronze. Venise, xvi siecle.",,,XVI siècle,statuette en bronze
BO0624_15268_lot_15,"GROUPE en bronze a patine rougeatre. Italie, xvi siecle.",,,XVI siècle,bronze
BO0624_15268_lot_16,"- DEUX CHEVAUX en bronze a patine rougeatre, Italie.xvI siecle.",,,XVI secolo,bronzo
BO0624_15268_lot_17,"FIGURINE en bronze. Italie, xvi siecle.",,,XVI secolo,bronzo
BO0624_15268_lot_18,"STATUETTE en bronze. Italie, xvi siecle.",,,XVI secolo,statuetta in bronzo
BO0624_15268_lot_19,"— STATuETTE equestre en bronze patine. France, fin du xvi siecle.",,,fin du XVI siècle,statuette équestre en bronze
BO0624_15268_lot_20,"GROUPE en bronze a patine rougeatre, du temps de Louis XIV.",,,Louis XIV,bronze
BO0624_15268_lot_21,STATUETTE en bronze patine. Fin du xviii siecle.,,,Fin du XVIII siècle,statuette en bronze
BO0624_15268_lot_22,"ŒILLET sur tige, avec bouton et deux feuilles, en fer cisele, et portant des traces de peintue, xvi siecle.",,,XVI secolo,ferro cesellato
