index,num,title,text,catalogue_id,key,needs_revision
14,14,"Vaso a due manichi e due medaglioni con figura, e stemma. alt. m. 0,00. Abruzzo","14. Vaso a due manichi e due medaglioni con figura, e stemma. alt. m. 0,00. Abruzzo",BO0624_4466,"BO0624_4466||14||14. Vaso a due manichi e due medaglioni con figura, e stemma. alt. m. 0,00. Abruzzo",False
15,15,"Vaso alndrico, decorato con ngura e paesaggio birm. urue) Abruzzo","15. Vaso alndrico, decorato con ngura e paesaggio birm. urue) Abruzzo",BO0624_4466,"BO0624_4466||15||15. Vaso alndrico, decorato con ngura e paesaggio birm. urue) Abruzzo",False
16,16,"Vaso di forma cilindrica, decorato con figura e paesaggio. Abruzzo","16. Vaso di forma cilindrica, decorato con figura e paesaggio. Abruzzo",BO0624_4466,"BO0624_4466||16||16. Vaso di forma cilindrica, decorato con figura e paesaggio. Abruzzo",False
17,17,"Paio vasi con coperchi e due anse a guisa di sfingi, decorati a fregi ed ornati in rilievo. Terraglia bianca fabbrica di Del Vecchio. Napoli","17. Paio vasi con coperchi e due anse a guisa di sfingi, decorati a fregi ed ornati in rilievo. Terraglia bianca fabbrica di Del Vecchio. Napoli",BO0624_4466,"BO0624_4466||17||17. Paio vasi con coperchi e due anse a guisa di sfingi, decorati a fregi ed ornati in rilievo. Terraglia bianca fabbrica di Del Vecchio. Napoli",False
18,18,"Vaso con due manichi, decorato a nori, alt. m. 0.20. Marsigua","18. Vaso con due manichi, decorato a nori, alt. m. 0.20. Marsigua",BO0624_4466,"BO0624_4466||18||18. Vaso con due manichi, decorato a nori, alt. m. 0.20. Marsigua",False
19,19,Otto fregi in majolica colorata di Persia,19. Otto fregi in majolica colorata di 7. Persia,BO0624_4466,BO0624_4466||19||19. Otto fregi in majolica colorata di 7. Persia,False
20,20,"Due vasi con medaghon, majonca al Siciaa","20. Due vasi con medaghon, majonca al Siciaa",BO0624_4466,"BO0624_4466||20||20. Due vasi con medaghon, majonca al Siciaa",False
21,21,Due vasi con fregi e medaglone. Casteldan ante,21. Due vasi con fregi e medaglone. Casteldan ante,BO0624_4466,BO0624_4466||21||21. Due vasi con fregi e medaglone. Casteldan ante,False
22,22,"Vaso cilindrico, decorato con fregi e medaglone. Caltagurone","22. Vaso cilindrico, decorato con fregi e medaglone. Caltagurone",BO0624_4466,"BO0624_4466||22||22. Vaso cilindrico, decorato con fregi e medaglone. Caltagurone",False
23,23,"Vaso di forma cilindrica, decorato con fregi e medaglione. Caltagirone","23. Vaso di forma cilindrica, decorato con fregi e medaglione. Caltagirone",BO0624_4466,"BO0624_4466||23||23. Vaso di forma cilindrica, decorato con fregi e medaglione. Caltagirone",False
24,24,"Vaso con manico e becco, decorato da un lato con fregi e testa di donna. dall'altro iscrizione col piccolo medaglione di Castelli.","24. Vaso con manico e becco, decorato da un lato con fregi e testa di donna. dall'altro iscrizione col piccolo medaglione di Castelli.

Casteldamante",BO0624_4466,"BO0624_4466||24||24. Vaso con manico e becco, decorato da un lato con fregi e testa di donna. dall'altro iscrizione col piccolo medaglione di Castelli.

Casteldamante",False
25,25,"Vaso di forma cilindrica, decorato con trofer darmi ed ornati in color1, alt. m. 0,02. Casteldurante","25. Vaso di forma cilindrica, decorato con trofer darmi ed ornati in color1, alt. m. 0,02. Casteldurante",BO0624_4466,"BO0624_4466||25||25. Vaso di forma cilindrica, decorato con trofer darmi ed ornati in color1, alt. m. 0,02. Casteldurante",False
26,26,Due piattini con Amorini. A 011220,26. Due piattini con Amorini. A 011220,BO0624_4466,BO0624_4466||26||26. Due piattini con Amorini. A 011220,False
27,27,La fuga in Egitto: mattone in cornice. Abruzzo,27. La fuga in Egitto: mattone in cornice. Abruzzo,BO0624_4466,BO0624_4466||27||27. La fuga in Egitto: mattone in cornice. Abruzzo,False
28,28,Mattone. Soggetto bibblico in cornice intagliata e dorata. Abruzzo,28. Mattone. Soggetto bibblico in cornice intagliata e dorata. Abruzzo,BO0624_4466,BO0624_4466||28||28. Mattone. Soggetto bibblico in cornice intagliata e dorata. Abruzzo,False
29,29,"Piatto col bordo a fiori e putti, nel fondo soggetto mitologico. Ilminato in oro. A m'1.220","29. Piatto col bordo a fiori e putti, nel fondo soggetto mitologico. Ilminato in oro. A m'1.220",BO0624_4466,"BO0624_4466||29||29. Piatto col bordo a fiori e putti, nel fondo soggetto mitologico. Ilminato in oro. A m'1.220",False
30,30,Mattone circolare rappresentante il ratto di Galatea. Abruzzo,30. Mattone circolare rappresentante il ratto di Galatea. Abruzzo,BO0624_4466,BO0624_4466||30||30. Mattone circolare rappresentante il ratto di Galatea. Abruzzo,False
31,31,Piatto con medaglone. Amano,31. Piatto con medaglone. Amano,BO0624_4466,BO0624_4466||31||31. Piatto con medaglone. Amano,False
32,32,Coppa con piede e ornati in colori.,32. Coppa con piede e ornati in colori.,BO0624_4466,BO0624_4466||32||32. Coppa con piede e ornati in colori.,False
33,33,Vaso con manico e becco ed ornati raffaelleschi. Nel centro stemma genuino con seriod. naen 2d.,33. Vaso con manico e becco ed ornati raffaelleschi. Nel centro stemma genuino con seriod. naen 2d.,BO0624_4466,BO0624_4466||33||33. Vaso con manico e becco ed ornati raffaelleschi. Nel centro stemma genuino con seriod. naen 2d.,False
34,34,Ire piatti con Iregi e ngure in bieu.,34. Ire piatti con Iregi e ngure in bieu.,BO0624_4466,BO0624_4466||34||34. Ire piatti con Iregi e ngure in bieu.,False
35,35,Vaso a pancia con iserizion e fregi in colori. Caffagiolo,35. Vaso a pancia con iserizion e fregi in colori. Caffagiolo,BO0624_4466,BO0624_4466||35||35. Vaso a pancia con iserizion e fregi in colori. Caffagiolo,False
36,36,"Vaso cilindrico con iscrizione e fregi sopra fondo bieu; e piccolo medaglione, alt. m. 0,15","36. Vaso cilindrico con iscrizione e fregi sopra fondo bieu; e piccolo medaglione, alt. m. 0,15",BO0624_4466,"BO0624_4466||36||36. Vaso cilindrico con iscrizione e fregi sopra fondo bieu; e piccolo medaglione, alt. m. 0,15",False
37,37,Due vasettini con fiori. Terraglia di Del Vecchio. Napol,37. Due vasettini con fiori. Terraglia di Del Vecchio. Napol,BO0624_4466,BO0624_4466||37||37. Due vasettini con fiori. Terraglia di Del Vecchio. Napol,False
38,14,no. Gran piatto a sbalzo in terragha bianca Wedarood.,14. no. Gran piatto a sbalzo in terragha bianca Wedarood.,BO0624_4466,BO0624_4466||14||14. no. Gran piatto a sbalzo in terragha bianca Wedarood.,False
39,39,Vaso a forma di civetta (manca la testa). Caffagiolo,39. Vaso a forma di civetta (manca la testa). Caffagiolo,BO0624_4466,BO0624_4466||39||39. Vaso a forma di civetta (manca la testa). Caffagiolo,False
40,40,"Piatto decorato con arabeschi in colori sopra fondo bianco, e me- daglione con Amorino. Pesaro                                                                    |                                                                                                                                            |","| 40. Piatto decorato con arabeschi in colori sopra fondo bianco, e me- daglione con Amorino. Pesaro                                                                    |                                                                                                                                            |
|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------|",BO0624_4466,"BO0624_4466||40||| 40. Piatto decorato con arabeschi in colori sopra fondo bianco, e me- daglione con Amorino. Pesaro                                                                    |                                                                                                                                            |
|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------|",False
41,41,Idem.                                                                                                                                                             | Pesaro                                                                                                                                     |,| 41. Idem.                                                                                                                                                             | Pesaro                                                                                                                                     |,BO0624_4466,BO0624_4466||41||| 41. Idem.                                                                                                                                                             | Pesaro                                                                                                                                     |,False
42,42,Coppa decorata a paesaggio.                                                                                                                                       | Moustiers                                                                                                                                  |,| 42. Coppa decorata a paesaggio.                                                                                                                                       | Moustiers                                                                                                                                  |,BO0624_4466,BO0624_4466||42||| 42. Coppa decorata a paesaggio.                                                                                                                                       | Moustiers                                                                                                                                  |,False
43,43,Gran piatto con ornati.                                                                                                                                           | Rodi                                                                                                                                       |,| 43. Gran piatto con ornati.                                                                                                                                           | Rodi                                                                                                                                       |,BO0624_4466,BO0624_4466||43||| 43. Gran piatto con ornati.                                                                                                                                           | Rodi                                                                                                                                       |,False
44,44,Due vasi con medaglioni.                                                                                                                                          | Caltagirone                                                                                                                                |,| 44. Due vasi con medaglioni.                                                                                                                                          | Caltagirone                                                                                                                                |,BO0624_4466,BO0624_4466||44||| 44. Due vasi con medaglioni.                                                                                                                                          | Caltagirone                                                                                                                                |,False
45,45,"Paio vasi di forma sferica, decorati con fregi e medaglioni. Caltagirone                                                                                          | 45. Paio vasi di forma sferica, decorati con fregi e medaglioni. Caltagirone                                                               |","| 45. Paio vasi di forma sferica, decorati con fregi e medaglioni. Caltagirone                                                                                          | 45. Paio vasi di forma sferica, decorati con fregi e medaglioni. Caltagirone                                                               |",BO0624_4466,"BO0624_4466||45||| 45. Paio vasi di forma sferica, decorati con fregi e medaglioni. Caltagirone                                                                                          | 45. Paio vasi di forma sferica, decorati con fregi e medaglioni. Caltagirone                                                               |",False
46,46,"Paio vasi di forma sferica, decorati con fregi e medaglioni in co- lori, alt. m. 0,30                                                                             | 46. Paio vasi di forma sferica, decorati con fregi e medaglioni in co- lori, alt. m. 0,30                                                  |","| 46. Paio vasi di forma sferica, decorati con fregi e medaglioni in co- lori, alt. m. 0,30                                                                             | 46. Paio vasi di forma sferica, decorati con fregi e medaglioni in co- lori, alt. m. 0,30                                                  |",BO0624_4466,"BO0624_4466||46||| 46. Paio vasi di forma sferica, decorati con fregi e medaglioni in co- lori, alt. m. 0,30                                                                             | 46. Paio vasi di forma sferica, decorati con fregi e medaglioni in co- lori, alt. m. 0,30                                                  |",False
47,47,Vaso di forma cilindrica con medaglione.                                                                                                                          | Caltagirone Casteldurante                                                                                                                  |,| 47. Vaso di forma cilindrica con medaglione.                                                                                                                          | Caltagirone Casteldurante                                                                                                                  |,BO0624_4466,BO0624_4466||47||| 47. Vaso di forma cilindrica con medaglione.                                                                                                                          | Caltagirone Casteldurante                                                                                                                  |,False
48,48,"Vaso con manico e becco decorato con fregi sopra fondo bleu; e medaglioni. — alt. m. 0,20.                                                                        | Casteldurante                                                                                                                              |","| 48. Vaso con manico e becco decorato con fregi sopra fondo bleu; e medaglioni. — alt. m. 0,20.                                                                        | Casteldurante                                                                                                                              |",BO0624_4466,"BO0624_4466||48||| 48. Vaso con manico e becco decorato con fregi sopra fondo bleu; e medaglioni. — alt. m. 0,20.                                                                        | Casteldurante                                                                                                                              |",False
49,49,Piatto: nel centro S. Giovanni.                                                                                                                                   | Abruzzo                                                                                                                                    |,| 49. Piatto: nel centro S. Giovanni.                                                                                                                                   | Abruzzo                                                                                                                                    |,BO0624_4466,BO0624_4466||49||| 49. Piatto: nel centro S. Giovanni.                                                                                                                                   | Abruzzo                                                                                                                                    |,False
50,50,"Vaso di forma cilindrica, decorato con paesaggio e figura di S. Eulochio — firmato P. C. P. 1757.                                                                 | Abruzzo                                                                                                                                    |","| 50. Vaso di forma cilindrica, decorato con paesaggio e figura di S. Eulochio — firmato P. C. P. 1757.                                                                 | Abruzzo                                                                                                                                    |",BO0624_4466,"BO0624_4466||50||| 50. Vaso di forma cilindrica, decorato con paesaggio e figura di S. Eulochio — firmato P. C. P. 1757.                                                                 | Abruzzo                                                                                                                                    |",False
51,51,"Mattone circolare con soggetto mitologico. Diana fra le ninfe. diam. m. 0,30.                                                                                     | Abruzzo                                                                                                                                    |","| 51. Mattone circolare con soggetto mitologico. Diana fra le ninfe. diam. m. 0,30.                                                                                     | Abruzzo                                                                                                                                    |",BO0624_4466,"BO0624_4466||51||| 51. Mattone circolare con soggetto mitologico. Diana fra le ninfe. diam. m. 0,30.                                                                                     | Abruzzo                                                                                                                                    |",False
52,52,"Vaso di forma sferica, con due medaglioni, decorati a paesaggio ed ornati in colori su fondo bleu, alt. m. 0,37.                                                  | Urbino                                                                                                                                     |","| 52. Vaso di forma sferica, con due medaglioni, decorati a paesaggio ed ornati in colori su fondo bleu, alt. m. 0,37.                                                  | Urbino                                                                                                                                     |",BO0624_4466,"BO0624_4466||52||| 52. Vaso di forma sferica, con due medaglioni, decorati a paesaggio ed ornati in colori su fondo bleu, alt. m. 0,37.                                                  | Urbino                                                                                                                                     |",False
53,53,Due vasi con manici - Eruzione del Vesuvio terraglia del Giusti- niani.                                                                                           | Napoli                                                                                                                                     |,| 53. Due vasi con manici - Eruzione del Vesuvio terraglia del Giusti- niani.                                                                                           | Napoli                                                                                                                                     |,BO0624_4466,BO0624_4466||53||| 53. Due vasi con manici - Eruzione del Vesuvio terraglia del Giusti- niani.                                                                                           | Napoli                                                                                                                                     |,False
54,54,Piatto decorato con fiori e foglie su fondo bianco.                                                                                                               | Persia                                                                                                                                     |,| 54. Piatto decorato con fiori e foglie su fondo bianco.                                                                                                               | Persia                                                                                                                                     |,BO0624_4466,BO0624_4466||54||| 54. Piatto decorato con fiori e foglie su fondo bianco.                                                                                                               | Persia                                                                                                                                     |,False
55,55,Piatto arcaico con fregi e putti. Nel mezzo Venere ed Amore.                                                                                                      |                                                                                                                                            |,"| 55. Piatto arcaico con fregi e putti. Nel mezzo Venere ed Amore.                                                                                                      |                                                                                                                                            |
| diam. 0.21.                                                                                                                                                           | Abruzzo                                                                                                                                    |",BO0624_4466,"BO0624_4466||55||| 55. Piatto arcaico con fregi e putti. Nel mezzo Venere ed Amore.                                                                                                      |                                                                                                                                            |
| diam. 0.21.                                                                                                                                                           | Abruzzo                                                                                                                                    |",False
56,56,"| 56. Vaso di forma sferica, decorato con fregi e medaglioni. Casteldurante","| 56. Vaso di forma sferica, decorato con fregi e medaglioni. Casteldurante",BO0624_4466,"BO0624_4466||56||| 56. Vaso di forma sferica, decorato con fregi e medaglioni. Casteldurante",False
57,57,"57. Paio vasi di forma sferica, decorati con fregi e medaglioni.","57. Paio vasi di forma sferica, decorati con fregi e medaglioni.",BO0624_4466,"BO0624_4466||57||57. Paio vasi di forma sferica, decorati con fregi e medaglioni.",False
58,56,"| 56. Vaso di forma sferica, decorato con fregi e medaglioni. Casteldurante","| 56. Vaso di forma sferica, decorato con fregi e medaglioni. Casteldurante",BO0624_4466,"BO0624_4466||56||| 56. Vaso di forma sferica, decorato con fregi e medaglioni. Casteldurante",False
59,57,"57. Paio vasi di forma sferica, decorati con fregi e medaglioni. |","57. Paio vasi di forma sferica, decorati con fregi e medaglioni. |",BO0624_4466,"BO0624_4466||57||57. Paio vasi di forma sferica, decorati con fregi e medaglioni. |",False
60,58,"Vaso cilindrico, decorato con fregi e piecolo medaglione.                                                                                                         | 58. Vaso cilindrico, decorato con fregi e piecolo medaglione.                                                                              |","| 58. Vaso cilindrico, decorato con fregi e piecolo medaglione.                                                                                                         | 58. Vaso cilindrico, decorato con fregi e piecolo medaglione.                                                                              |",BO0624_4466,"BO0624_4466||58||| 58. Vaso cilindrico, decorato con fregi e piecolo medaglione.                                                                                                         | 58. Vaso cilindrico, decorato con fregi e piecolo medaglione.                                                                              |",False
61,59,"| 59. Vaso a pancia con manichi e collo lungo, decorato a riflesso me- tallico su fondo bianco, alt. m. 0.30. Ispano- Ar","| 59. Vaso a pancia con manichi e collo lungo, decorato a riflesso me- tallico su fondo bianco, alt. m. 0.30. Ispano- Arabo",BO0624_4466,"BO0624_4466||59||| 59. Vaso a pancia con manichi e collo lungo, decorato a riflesso me- tallico su fondo bianco, alt. m. 0.30. Ispano- Arabo",False
62,60,60. Due vasi con manichi e fiori in colori. | Marsiglia,"60. Due vasi con manichi e fiori in colori. | Marsiglia                                                                                                                                  |
| bianco.                                                                                                                                                               | Pesaro                                                                                                                                     |",BO0624_4466,"BO0624_4466||60||60. Due vasi con manichi e fiori in colori. | Marsiglia                                                                                                                                  |
| bianco.                                                                                                                                                               | Pesaro                                                                                                                                     |",False
63,61,"Piccolo vaso con piede, decorato con ornati in colori sopra fondo                                                                                                 |                                                                                                                                            |","| 61. Piccolo vaso con piede, decorato con ornati in colori sopra fondo                                                                                                 |                                                                                                                                            |",BO0624_4466,"BO0624_4466||61||| 61. Piccolo vaso con piede, decorato con ornati in colori sopra fondo                                                                                                 |                                                                                                                                            |",False
64,63,Due canestrini in terraglia di                                                                                                                                    | Napoli                                                                                                                                     |,| 63. Due canestrini in terraglia di                                                                                                                                    | Napoli                                                                                                                                     |,BO0624_4466,BO0624_4466||63||| 63. Due canestrini in terraglia di                                                                                                                                    | Napoli                                                                                                                                     |,False
65,64,Due piatti con ornati in colori: terraglia di Del Vecchio. Napoli                                                                                                 |                                                                                                                                            |,| 64. Due piatti con ornati in colori: terraglia di Del Vecchio. Napoli                                                                                                 |                                                                                                                                            |,BO0624_4466,BO0624_4466||64||| 64. Due piatti con ornati in colori: terraglia di Del Vecchio. Napoli                                                                                                 |                                                                                                                                            |,False
66,65,"Vaso, di forma cilindrica, con fregi e stemma. Caffagiolo","65. Vaso, di forma cilindrica, con fregi e stemma. Caffagiolo",BO0624_4466,"BO0624_4466||65||65. Vaso, di forma cilindrica, con fregi e stemma. Caffagiolo",False
67,66,"Vaso alnarico, con fregi in colori. Caffagiolo","66. Vaso alnarico, con fregi in colori. Caffagiolo",BO0624_4466,"BO0624_4466||66||66. Vaso alnarico, con fregi in colori. Caffagiolo",False
68,67,"Mattone rappresentante soggetto della bibbia, in cornice nera, alt. m. 0.24 per 0.34 Abruzzo","67. Mattone rappresentante soggetto della bibbia, in cornice nera, alt. m. 0.24 per 0.34 Abruzzo",BO0624_4466,"BO0624_4466||67||67. Mattone rappresentante soggetto della bibbia, in cornice nera, alt. m. 0.24 per 0.34 Abruzzo",False
69,68,Paio vasettimi di forma alindrica. decorati con medaghom. Aoruzzo,68. Paio vasettimi di forma alindrica. decorati con medaghom. Aoruzzo,BO0624_4466,BO0624_4466||68||68. Paio vasettimi di forma alindrica. decorati con medaghom. Aoruzzo,False
70,60,"Paio vesi di forma sferica. decorati con medaglioni. fiori e fogl in colori sopra fondo bleu, alt. m. 0,27 Casteldurante","60. Paio vesi di forma sferica. decorati con medaglioni. fiori e fogl in colori sopra fondo bleu, alt. m. 0,27 Casteldurante",BO0624_4466,"BO0624_4466||60||60. Paio vesi di forma sferica. decorati con medaglioni. fiori e fogl in colori sopra fondo bleu, alt. m. 0,27 Casteldurante",False
71,70,"Vaso di forma sierica, con due medagnon e ornau in colori. la ctelnamante","70. Vaso di forma sierica, con due medagnon e ornau in colori. la ctelnamante",BO0624_4466,"BO0624_4466||70||70. Vaso di forma sierica, con due medagnon e ornau in colori. la ctelnamante",False
72,71,"Paio vasi di forma a pancia e due manichi, decorati con fregi in azzurro sopra fondo azzurro chiaro (Fabb. del Fuina) A0r1220","71. Paio vasi di forma a pancia e due manichi, decorati con fregi in azzurro sopra fondo azzurro chiaro (Fabb. del Fuina) A0r1220",BO0624_4466,"BO0624_4466||71||71. Paio vasi di forma a pancia e due manichi, decorati con fregi in azzurro sopra fondo azzurro chiaro (Fabb. del Fuina) A0r1220",False
73,72,Piatto arcaico con fregi. Nel centro s. Bonaventura Abruzzo,72. Piatto arcaico con fregi. Nel centro s. Bonaventura Abruzzo,BO0624_4466,BO0624_4466||72||72. Piatto arcaico con fregi. Nel centro s. Bonaventura Abruzzo,False
74,13,lazza decorata con Amorin. Abruzzo,13. lazza decorata con Amorin. Abruzzo,BO0624_4466,BO0624_4466||13||13. lazza decorata con Amorin. Abruzzo,False
75,74,Due piatti (Fabb. di Cappelletti). 40razzo,74. Due piatti (Fabb. di Cappelletti). 40razzo,BO0624_4466,BO0624_4466||74||74. Due piatti (Fabb. di Cappelletti). 40razzo,False
76,75,Tre piatti (Fabb. di Cappelletti). AbrUZZO,"75. Tre piatti (Fabb. di Cappelletti). AbrUZZO

%o. vaso con fregi e ngura di s. Antonio Casteldurante

#. Vaso con manico e becco e fregi in colori note murant",BO0624_4466,"BO0624_4466||75||75. Tre piatti (Fabb. di Cappelletti). AbrUZZO

%o. vaso con fregi e ngura di s. Antonio Casteldurante

#. Vaso con manico e becco e fregi in colori note murant",False
77,78,Vaso a becco con manico e due medaglioni. Caltagirone,78. Vaso a becco con manico e due medaglioni. Caltagirone,BO0624_4466,BO0624_4466||78||78. Vaso a becco con manico e due medaglioni. Caltagirone,False
78,79,Due vasi con medaghon Caltagiron,79. Due vasi con medaghon Caltagiron,BO0624_4466,BO0624_4466||79||79. Due vasi con medaghon Caltagiron,False
79,80,Mattone in colori. Lersia,80. Mattone in colori. Lersia,BO0624_4466,BO0624_4466||80||80. Mattone in colori. Lersia,False
80,81,"Gran piatto con ornati raffaelleschi e stemma Pesaro o2. riatto con piede, decorato in bleu mond","81. Gran piatto con ornati raffaelleschi e stemma Pesaro o2. riatto con piede, decorato in bleu mond",BO0624_4466,"BO0624_4466||81||81. Gran piatto con ornati raffaelleschi e stemma Pesaro o2. riatto con piede, decorato in bleu mond",False
81,83,"Mattoni per pavimento, con ornati raffaelleschi sopra fondo di vari colori - Quadrato di dieci pezzi Caffagiol","83. Mattoni per pavimento, con ornati raffaelleschi sopra fondo di vari colori - Quadrato di dieci pezzi Caffagiol",BO0624_4466,"BO0624_4466||83||83. Mattoni per pavimento, con ornati raffaelleschi sopra fondo di vari colori - Quadrato di dieci pezzi Caffagiol",False
82,84,Mattone in cornice. Paesaggio. Abruzz,84. Mattone in cornice. Paesaggio. Abruzz,BO0624_4466,BO0624_4466||84||84. Mattone in cornice. Paesaggio. Abruzz,False
83,85,Piccolo piatto — Il Battesimo di S. Giovanni. AL0r2220,85. Piccolo piatto — Il Battesimo di S. Giovanni. AL0r2220,BO0624_4466,BO0624_4466||85||85. Piccolo piatto — Il Battesimo di S. Giovanni. AL0r2220,False
84,86,"Mattone rappresentante soggetto della Bibbia alt. m. 0,24 p. 0,34 Abruzzo","86. Mattone rappresentante soggetto della Bibbia 2. alt. m. 0,24 p. 0,34 Abruzzo",BO0624_4466,"BO0624_4466||86||86. Mattone rappresentante soggetto della Bibbia 2. alt. m. 0,24 p. 0,34 Abruzzo",False
85,87,"Vaso di forma cilindrica, decorato con medaglione, stemma e fregi Datato 1526, altezza m. 0.26. Caffagiolo","87. Vaso di forma cilindrica, decorato con medaglione, stemma e fregi Datato 1526, altezza m. 0.26. Caffagiolo",BO0624_4466,"BO0624_4466||87||87. Vaso di forma cilindrica, decorato con medaglione, stemma e fregi Datato 1526, altezza m. 0.26. Caffagiolo",False
86,88,Due mattoni. Paesaggi Ahaaad ov. Mattone. Cristo croeinsso Abruzzo,"88. Due mattoni. Paesaggi Ahaaad ov. Mattone. Cristo croeinsso Abruzzo

J. Onera decorata con gure (rabo. de Cappelletti, A 0011220

J1. vaso a becco con medaglone Casteldurante",BO0624_4466,"BO0624_4466||88||88. Due mattoni. Paesaggi Ahaaad ov. Mattone. Cristo croeinsso Abruzzo

J. Onera decorata con gure (rabo. de Cappelletti, A 0011220

J1. vaso a becco con medaglone Casteldurante",False
